"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"((a) & (((b) & (G(a))) | ((!(b)) & (F(!(a)))))) | ((!(a)) & (((b) & (F(!(a)))) | ((!(b)) & (G(a)))))","ltl3tela","ok",0,0.0127542,4,7,13,1,4,0,0,0
"(F(a)) U ((F((!(b)) | ((c) & (X(X(b)))) | ((!(c)) & (X(X(!(b))))))) R (d))","ltl3ba","ok",0,0.0099183,16,61,264,3,15,6,1,0
"(F(a)) U ((F((!(b)) | ((c) & (X(X(b)))) | ((!(c)) & (X(X(!(b))))))) R (d))","ltl2tgba-G","ok",0,0.0142589,11,37,174,1,10,5,1,0
"(F(a)) U ((F((!(b)) | ((c) & (X(X(b)))) | ((!(c)) & (X(X(!(b))))))) R (d))","ltl2tgba","ok",0,0.0155278,11,37,174,1,10,5,1,0
"(F(a)) U ((F((!(b)) | ((c) & (X(X(b)))) | ((!(c)) & (X(X(!(b))))))) R (d))","ltl3tela","ok",0,0.0996211,11,37,174,1,10,5,1,0
"(G(a)) R ((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) & (X((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) U (d))))","ltl3ba","ok",0,0.0106212,4,9,38,1,4,2,1,0
"(G(a)) R ((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) & (X((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) U (d))))","ltl2tgba-G","ok",0,0.00923918,4,7,36,1,4,2,1,0
"(G(a)) R ((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) & (X((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) U (d))))","ltl2tgba","ok",0,0.00954146,4,7,36,1,4,2,1,0
"(G(a)) R ((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) & (X((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) U (d))))","ltl3tela","ok",0,0.0232251,4,7,36,1,4,2,1,0
"(((!(a)) | (X(b))) U (X((F(a)) U (X(c))))) M (X(!(b)))","ltl3ba","ok",0,0.0102295,12,31,126,4,10,8,1,0
"(((!(a)) | (X(b))) U (X((F(a)) U (X(c))))) M (X(!(b)))","ltl2tgba-G","ok",0,0.00908151,11,29,102,1,9,7,1,0
"(((!(a)) | (X(b))) U (X((F(a)) U (X(c))))) M (X(!(b)))","ltl2tgba","ok",0,0.0101871,11,29,102,1,9,7,1,0
"(((!(a)) | (X(b))) U (X((F(a)) U (X(c))))) M (X(!(b)))","ltl3tela","ok",0,0.0378872,11,29,102,1,9,7,1,0
"a","ltl3ba","ok",0,0.00976796,2,2,3,0,2,0,0,0
"a","ltl2tgba-G","ok",0,0.00571989,2,2,3,1,2,0,0,0
"a","ltl2tgba","ok",0,0.0056721,2,2,3,1,2,0,0,0
"a","ltl3tela","ok",0,0.0034827,2,2,3,0,2,0,0,0
"((a) M (X((b) W (c)))) W (X((c) M (G(d))))","ltl3ba","ok",0,0.00995339,9,24,120,2,8,3,1,0
"((a) M (X((b) W (c)))) W (X((c) M (G(d))))","ltl2tgba-G","ok",0,0.0107635,9,22,114,1,8,3,1,0
"((a) M (X((b) W (c)))) W (X((c) M (G(d))))","ltl2tgba","ok",0,0.0107338,9,22,114,1,8,3,1,0
"((a) M (X((b) W (c)))) W (X((c) M (G(d))))","ltl3tela","ok",0,0.057191,9,22,114,1,8,3,1,0
"(X(!(a))) M ((a) & (G(b)) & ((c) U ((b) R (d))))","ltl3ba","ok",0,0.0108113,5,10,27,2,5,1,1,0
"(X(!(a))) M ((a) & (G(b)) & ((c) U ((b) R (d))))","ltl2tgba-G","ok",0,0.00874173,5,12,30,1,4,0,0,0
"(X(!(a))) M ((a) & (G(b)) & ((c) U ((b) R (d))))","ltl2tgba","ok",0,0.00849449,5,12,30,1,4,0,0,0
"(X(!(a))) M ((a) & (G(b)) & ((c) U ((b) R (d))))","ltl3tela","ok",0,0.0224858,5,12,30,1,4,0,0,0
"(a) | (X((a) | (X((a) M (b)))))","ltl3ba","ok",0,0.00938932,4,7,14,1,4,0,0,0
"(a) | (X((a) | (X((a) M (b)))))","ltl2tgba-G","ok",0,0.00674169,4,7,14,1,4,0,0,0
"(a) | (X((a) | (X((a) M (b)))))","ltl2tgba","ok",0,0.00633634,4,7,14,1,4,0,0,0
"(a) | (X((a) | (X((a) M (b)))))","ltl3tela","ok",0,0.00831823,4,7,14,1,4,0,0,0
"((a) & ((b) | (G(!(c))))) | ((!(a)) & (!(b)) & (F(c)))","ltl3ba","ok",0,0.00990176,4,7,25,1,4,0,0,0
"((a) & ((b) | (G(!(c))))) | ((!(a)) & (!(b)) & (F(c)))","ltl2tgba-G","ok",0,0.00659501,4,7,25,1,4,0,0,0
"((a) & ((b) | (G(!(c))))) | ((!(a)) & (!(b)) & (F(c)))","ltl2tgba","ok",0,0.00685994,4,7,25,1,4,0,0,0
"((a) & ((b) | (G(!(c))))) | ((!(a)) & (!(b)) & (F(c)))","ltl3tela","ok",0,0.00916163,4,7,25,1,4,0,0,0
"((!(a)) & (X(!(b)))) | ((a) & (X(b))) | (((c) | ((!(a)) R (d))) R ((!(a)) U (c)))","ltl3ba","ok",0,0.010155,6,13,76,1,6,1,1,0
"((!(a)) & (X(!(b)))) | ((a) & (X(b))) | (((c) | ((!(a)) R (d))) R ((!(a)) U (c)))","ltl2tgba-G","ok",0,0.00843282,5,9,33,1,5,0,0,0
"((!(a)) & (X(!(b)))) | ((a) & (X(b))) | (((c) | ((!(a)) R (d))) R ((!(a)) U (c)))","ltl2tgba","ok",0,0.00898808,5,9,33,1,5,0,0,0
"((!(a)) & (X(!(b)))) | ((a) & (X(b))) | (((c) | ((!(a)) R (d))) R ((!(a)) U (c)))","ltl3tela","ok",0,0.0138048,5,9,33,1,5,0,0,0
"((F(b)) | (((a) | (X(b))) & (F(a)))) R (F(c))","ltl3ba","ok",0,0.00961517,9,29,68,3,9,1,1,0
"((F(b)) | (((a) | (X(b))) & (F(a)))) R (F(c))","ltl2tgba-G","ok",0,0.00848473,4,10,33,1,4,1,1,1
"((F(b)) | (((a) | (X(b))) & (F(a)))) R (F(c))","ltl2tgba","ok",0,0.00906058,4,10,33,1,4,1,1,1
"((F(b)) | (((a) | (X(b))) & (F(a)))) R (F(c))","ltl3tela","ok",0,0.0212882,4,10,33,1,4,1,1,1
"(a) | (G((F(G(a))) U (((b) | (G(c))) R (c))))","ltl3ba","ok",0,0.00968167,11,38,84,2,8,8,1,0
"(a) | (G((F(G(a))) U (((b) | (G(c))) R (c))))","ltl2tgba-G","ok",0,0.0110257,7,18,48,1,5,4,1,0
"(a) | (G((F(G(a))) U (((b) | (G(c))) R (c))))","ltl2tgba","ok",0,0.00999142,7,18,48,1,5,4,1,0
"(a) | (G((F(G(a))) U (((b) | (G(c))) R (c))))","ltl3tela","ok",0,0.0307669,6,20,47,3,4,3,1,0
"F((!(a)) | (G(a)))","ltl3ba","ok",0,0.0109743,3,5,6,1,3,1,1,0
"F((!(a)) | (G(a)))","ltl2tgba-G","ok",0,0.00609987,1,1,1,1,1,0,0,1
"F((!(a)) | (G(a)))","ltl2tgba","ok",0,0.00676209,1,1,1,1,1,0,0,1
"F((!(a)) | (G(a)))","ltl3tela","ok",0,0.00444382,1,1,1,0,1,0,0,1
"(F(a)) | (X((b) & ((c) R (d))))","ltl3ba","ok",0,0.010178,5,10,68,1,5,1,1,0
"(F(a)) | (X((b) & ((c) R (d))))","ltl2tgba-G","ok",0,0.00754351,5,11,80,1,5,0,0,1
"(F(a)) | (X((b) & ((c) R (d))))","ltl2tgba","ok",0,0.00822361,5,11,80,1,5,0,0,1
"(F(a)) | (X((b) & ((c) R (d))))","ltl3tela","ok",0,0.0107532,5,11,80,1,5,0,0,1
"((a) & (!(b)) & ((b) | (((!(b)) & (!(c))) M (F(!(d)))))) | ((!(a)) & ((b) | ((!(b)) & (((b) | (c)) W (G(d))))))","ltl3ba","ok",0,0.0101868,6,14,84,2,6,2,1,0
"((a) & (!(b)) & ((b) | (((!(b)) & (!(c))) M (F(!(d)))))) | ((!(a)) & ((b) | ((!(b)) & (((b) | (c)) W (G(d))))))","ltl2tgba-G","ok",0,0.00818087,6,14,81,1,6,0,0,0
"((a) & (!(b)) & ((b) | (((!(b)) & (!(c))) M (F(!(d)))))) | ((!(a)) & ((b) | ((!(b)) & (((b) | (c)) W (G(d))))))","ltl2tgba","ok",0,0.00837199,6,14,81,1,6,0,0,0
"((a) & (!(b)) & ((b) | (((!(b)) & (!(c))) M (F(!(d)))))) | ((!(a)) & ((b) | ((!(b)) & (((b) | (c)) W (G(d))))))","ltl3tela","ok",0,0.0191387,6,14,81,1,6,0,0,0
"(a) | ((b) U (X((b) U ((!(a)) & (!(b))))))","ltl3ba","ok",0,0.00950977,4,8,18,2,4,2,1,0
"(a) | ((b) U (X((b) U ((!(a)) & (!(b))))))","ltl2tgba-G","ok",0,0.00692401,4,9,15,1,4,0,0,0
"(a) | ((b) U (X((b) U ((!(a)) & (!(b))))))","ltl2tgba","ok",0,0.00745928,4,9,15,1,4,0,0,0
"(a) | ((b) U (X((b) U ((!(a)) & (!(b))))))","ltl3tela","ok",0,0.0082501,4,9,15,1,4,0,0,0
"(X(a)) R (((b) & (X(F(c)))) | ((!(b)) & (X(G(!(c))))))","ltl3ba","ok",0,0.0107632,8,19,58,1,8,3,1,0
"(X(a)) R (((b) & (X(F(c)))) | ((!(b)) & (X(G(!(c))))))","ltl2tgba-G","ok",0,0.00790797,8,18,58,1,8,3,1,0
"(X(a)) R (((b) & (X(F(c)))) | ((!(b)) & (X(G(!(c))))))","ltl2tgba","ok",0,0.00809544,8,18,58,1,8,3,1,0
"(X(a)) R (((b) & (X(F(c)))) | ((!(b)) & (X(G(!(c))))))","ltl3tela","ok",0,0.0183501,8,18,58,1,8,3,1,0
"(F((a) & (F(((a) & (G(!(b)))) | ((!(a)) & (F(b))))))) | ((b) & (F(c))) | ((!(b)) & (G(!(c))))","ltl3ba","ok",0,0.0108385,8,20,75,4,8,3,1,0
"(F((a) & (F(((a) & (G(!(b)))) | ((!(a)) & (F(b))))))) | ((b) & (F(c))) | ((!(b)) & (G(!(c))))","ltl2tgba-G","ok",0,0.0132325,12,35,93,1,12,5,1,0
"(F((a) & (F(((a) & (G(!(b)))) | ((!(a)) & (F(b))))))) | ((b) & (F(c))) | ((!(b)) & (G(!(c))))","ltl2tgba","ok",0,0.0104425,8,20,64,1,8,3,1,0
"(F((a) & (F(((a) & (G(!(b)))) | ((!(a)) & (F(b))))))) | ((b) & (F(c))) | ((!(b)) & (G(!(c))))","ltl3tela","ok",0,0.0309153,8,20,64,1,8,3,1,0
"(a) U ((((b) W (a)) W (((F(c)) & (X(G(!(a))))) | ((G(!(c))) & (X(F(a)))))) U (X(a)))","ltl3ba","ok",0,0.0102577,23,79,201,4,17,13,1,0
"(a) U ((((b) W (a)) W (((F(c)) & (X(G(!(a))))) | ((G(!(c))) & (X(F(a)))))) U (X(a)))","ltl2tgba-G","ok",0,0.0176258,14,37,122,1,12,7,1,0
"(a) U ((((b) W (a)) W (((F(c)) & (X(G(!(a))))) | ((G(!(c))) & (X(F(a)))))) U (X(a)))","ltl2tgba","ok",0,0.0169999,14,37,122,1,12,7,1,0
"(a) U ((((b) W (a)) W (((F(c)) & (X(G(!(a))))) | ((G(!(c))) & (X(F(a)))))) U (X(a)))","ltl3tela","ok",0,0.902419,14,37,122,1,12,7,1,0
"F((a) & (G(b)))","ltl3ba","ok",0,0.0108585,2,3,7,1,2,1,1,0
"F((a) & (G(b)))","ltl2tgba-G","ok",0,0.00729287,2,3,7,1,2,1,1,0
"F((a) & (G(b)))","ltl2tgba","ok",0,0.00616394,2,3,7,1,2,1,1,0
"F((a) & (G(b)))","ltl3tela","ok",0,0.00620114,2,4,8,1,1,0,0,1
"(a) M (((b) & (c)) W ((a) | (!(c))))","ltl3ba","ok",0,0.00971064,2,3,15,1,2,0,0,0
"(a) M (((b) & (c)) W ((a) | (!(c))))","ltl2tgba-G","ok",0,0.00647987,2,3,15,1,2,0,0,0
"(a) M (((b) & (c)) W ((a) | (!(c))))","ltl2tgba","ok",0,0.00628803,2,3,15,1,2,0,0,0
"(a) M (((b) & (c)) W ((a) | (!(c))))","ltl3tela","ok",0,0.00728103,2,3,15,1,2,0,0,0
"X(F((a) W (b)))","ltl3ba","ok",0,0.0100847,4,7,16,1,4,1,1,0
"X(F((a) W (b)))","ltl2tgba-G","ok",0,0.00752935,4,7,16,1,4,1,1,0
"X(F((a) W (b)))","ltl2tgba","ok",0,0.00715818,4,7,16,1,4,1,1,0
"X(F((a) W (b)))","ltl3tela","ok",0,0.00697728,3,5,12,1,3,0,0,1
"(a) & (b) & (((a) M (G(F(c)))) U (X(!(a))))","ltl3ba","ok",0,0.0117898,12,25,114,3,11,5,1,0
"(a) & (b) & (((a) M (G(F(c)))) U (X(!(a))))","ltl2tgba-G","ok",0,0.0104517,9,16,68,1,8,3,1,0
"(a) & (b) & (((a) M (G(F(c)))) U (X(!(a))))","ltl2tgba","ok",0,0.00938711,9,16,68,1,8,3,1,0
"(a) & (b) & (((a) M (G(F(c)))) U (X(!(a))))","ltl3tela","ok",0,0.0264794,8,14,64,3,8,4,1,0
"X(X((G(F(a))) R (b)))","ltl3ba","ok",0,0.00969584,5,7,18,1,5,1,1,0
"X(X((G(F(a))) R (b)))","ltl2tgba-G","ok",0,0.00737212,4,6,16,1,4,1,1,0
"X(X((G(F(a))) R (b)))","ltl2tgba","ok",0,0.00745008,4,6,16,1,4,1,1,0
"X(X((G(F(a))) R (b)))","ltl3tela","ok",0,0.0104941,4,6,16,1,4,1,1,0
